id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
74090,1999.pkl,other,M,AM,PFL,Norte,other,PARDA,40-50
74091,1999.pkl,other,M,AM,PFL,Norte,other,,50-60
74093,1999.pkl,other,M,AM,PFL,Norte,other,,50-60
74094,1999.pkl,other,M,AM,PPB,Norte,other,BRANCA,50-60
74095,1999.pkl,other,M,AM,PFL,Norte,other,PARDA,40-50
74097,1999.pkl,other,M,RO,PMDB,Norte,other,,40-50
74099,1999.pkl,undergraduate,M,RO,PDT,Norte,judge/lawyer/prosecutor,,40-50
74100,1999.pkl,other,M,RO,PSDB,Norte,other,,30-40
74102,1999.pkl,undergraduate,M,SE,PSB,Nordeste,judge/lawyer/prosecutor,,30-40
74103,1999.pkl,other,M,CE,PSDB,Nordeste,other,BRANCA,50-60
74108,1999.pkl,high school,M,MG,PSDB,Sudeste,other,,30-40
74109,1999.pkl,high school,M,RO,PL*,Norte,other,,40-50
74111,1999.pkl,undergraduate,M,MT,PSDB,Centro-Oeste,dentist/medic,,40-50
74120,1999.pkl,high school,M,MG,PMDB,Sudeste,other,,30-40
74122,1999.pkl,other,M,MT,PSDB,Centro-Oeste,other,,60-70
74124,1999.pkl,other,M,MS,PSDB,Centro-Oeste,other,BRANCA,30-40
74125,1999.pkl,other,M,BA,PMDB,Nordeste,other,,60-70
74131,1999.pkl,other,M,BA,PFL,Nordeste,other,,50-60
74133,1999.pkl,other,M,BA,PT,Nordeste,other,PRETA,40-50
74134,1999.pkl,other,M,SP,PMDB,Sudeste,other,,30-40
74136,1999.pkl,high school,M,RS,PT,Sul,blue collar,,40-50
74137,1999.pkl,undergraduate,M,SP,PT,Sudeste,judge/lawyer/prosecutor,,40-50
74177,1999.pkl,other,F,RO,PSDB,Norte,other,BRANCA,30-40
74185,1999.pkl,other,F,AC,PTB,Norte,other,,50-60
74186,1999.pkl,undergraduate,M,TO,PTB,Norte,other,PARDA,40-50
74187,1999.pkl,other,M,TO,PFL,Norte,other,,50-60
74188,1999.pkl,undergraduate,F,TO,PMDB,Norte,judge/lawyer/prosecutor,,50-60
74189,1999.pkl,undergraduate,M,TO,PMDB,Norte,other,BRANCA,40-50
74190,1999.pkl,high school,M,TO,PFL,Norte,other,,40-50
74191,1999.pkl,other,M,TO,PPB,Norte,other,BRANCA,60-70
74192,1999.pkl,other,M,TO,PSDB,Norte,other,,40-50
74193,1999.pkl,undergraduate,M,TO,PMDB,Norte,public servant,,30-40
74194,1999.pkl,other,M,MA,PPB,Nordeste,other,,50-60
74195,1999.pkl,other,M,MA,PFL,Nordeste,other,,50-60
74198,1999.pkl,other,M,MA,PL*,Nordeste,other,,40-50
74199,1999.pkl,other,M,MA,PFL,Nordeste,other,,40-50
74200,1999.pkl,other,M,MA,PMDB,Nordeste,other,PARDA,50-60
74206,1999.pkl,other,M,MA,PFL,Nordeste,other,,50-60
74207,1999.pkl,other,M,MA,PMDB,Nordeste,other,BRANCA,60-70
74208,1999.pkl,other,M,MA,PL*,Nordeste,other,,50-60
74209,1999.pkl,undergraduate,M,MA,PSDB,Nordeste,other,,30-40
74210,1999.pkl,undergraduate,M,MA,PFL,Nordeste,other,BRANCA,40-50
74211,1999.pkl,other,M,MA,PSDB,Nordeste,other,,40-50
74212,1999.pkl,other,M,CE,PSDB,Nordeste,other,PARDA,40-50
74216,1999.pkl,other,M,CE,PSDB,Nordeste,other,BRANCA,40-50
74217,1999.pkl,undergraduate,M,RS,PTB,Sul,other,,40-50
74221,1999.pkl,high school,M,RJ,PSDB,Sudeste,other,,50-60
74222,1999.pkl,other,M,PA,PMDB,Norte,other,,50-60
74225,1999.pkl,undergraduate,M,MA,PDT,Nordeste,other,,80-90
74233,1999.pkl,undergraduate,M,SC,PT,Sul,other,,30-40
74235,1999.pkl,undergraduate,M,ES,PSDB,Sudeste,salesman,BRANCA,40-50
