id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
74346,51.pkl,other,M,AP,PMDB,Norte,other,BRANCA,40-50
74347,51.pkl,other,M,PA,PFL,Norte,other,,50-60
74348,51.pkl,no education,M,PA,PT,Norte,other,,40-50
74349,51.pkl,other,M,PA,PT,Norte,other,PARDA,40-50
74350,51.pkl,other,M,PA,PMDB,Norte,other,,60-70
74351,51.pkl,other,M,PA,PTB,Norte,other,BRANCA,50-60
74352,51.pkl,other,M,PA,PSDB,Norte,other,PARDA,40-50
74353,51.pkl,other,M,PA,PTB,Norte,other,,30-40
74354,51.pkl,undergraduate,M,PA,PSDB,Norte,other,,30-40
74355,51.pkl,other,M,AM,PFL,Norte,other,,40-50
74356,51.pkl,high school,M,AM,others,Norte,other,PARDA,30-40
74357,51.pkl,undergraduate,F,AM,PCdoB,Norte,other,BRANCA,30-40
74358,51.pkl,undergraduate,M,RO,PDT,Norte,judge/lawyer/prosecutor,BRANCA,0-30
74359,51.pkl,high school,M,RO,PTB,Norte,other,BRANCA,30-40
74360,51.pkl,undergraduate,M,RO,PSDB,Norte,dentist/medic,,40-50
74361,51.pkl,other,M,AC,others,Norte,other,,40-50
74362,51.pkl,other,M,AC,PSDB,Norte,other,,50-60
74363,51.pkl,elementary school,M,AC,PMDB,Norte,others,,30-40
74364,51.pkl,high school,M,AC,PT,Norte,others,,30-40
74365,51.pkl,other,M,AC,PT,Norte,other,,40-50
74404,51.pkl,undergraduate,M,PB,PFL,Nordeste,judge/lawyer/prosecutor,PARDA,40-50
74405,51.pkl,other,M,PB,PMDB,Nordeste,other,,50-60
74407,51.pkl,undergraduate,M,PB,PFL,Nordeste,engineer/architect,,40-50
74408,51.pkl,other,M,PB,PPB,Nordeste,other,,60-70
74412,51.pkl,other,M,PB,PMDB,Nordeste,other,,60-70
74414,51.pkl,other,M,PB,PSDB,Nordeste,other,,60-70
74415,51.pkl,undergraduate,M,PE,PFL,Nordeste,other,,40-50
74416,51.pkl,undergraduate,M,PE,PSB,Nordeste,broker/economist/banker,,30-40
74417,51.pkl,undergraduate,M,PE,PT,Nordeste,other,BRANCA,40-50
74419,51.pkl,other,M,PE,PSB,Nordeste,other,PARDA,50-60
